CustomerID,Age,Gender,Country,Income,ProductQuality,ServiceQuality,PurchaseFrequency,FeedbackScore,LoyaltyLevel,SatisfactionScore,salaryGroup,AgeGroup,FrequencyGroup,satisfactionLevel
1,56,Male,UK,83094,5,8,5,Low,Bronze,100,average salary,Older Adults,Low,high satisfied
2,69,Male,UK,86860,10,2,8,Medium,Gold,100,average salary,Older Adults,Moderate,high satisfied
3,46,Female,USA,60173,8,10,18,Medium,Silver,100,average salary,Middle-aged Adults,High,high satisfied
4,32,Female,UK,73884,7,10,16,Low,Gold,100,average salary,Young Adults,High,high satisfied
5,60,Male,UK,97546,6,4,13,Low,Bronze,82,average salary,Older Adults,Moderate,average satisfied
6,25,Male,France,49364,5,7,19,High,Silver,80.71,low salary,Young Adults,High,average satisfied
7,38,Female,Germany,39716,10,6,11,High,Silver,100,low salary,Middle-aged Adults,Moderate,high satisfied
8,56,Female,Germany,45305,10,10,10,Medium,Gold,100,average salary,Older Adults,Moderate,high satisfied
9,36,Male,France,98001,10,2,12,High,Bronze,100,average salary,Middle-aged Adults,Moderate,high satisfied
10,40,Female,UK,85307,6,4,20,High,Gold,86.48,average salary,Middle-aged Adults,High,average satisfied
11,28,Female,Canada,46732,9,3,3,High,Gold,94.6,low salary,Young Adults,Low,high satisfied
12,28,Female,France,38742,8,6,13,Medium,Silver,81.85,low salary,Young Adults,Moderate,average satisfied
13,41,Male,Germany,30028,8,6,20,Medium,Bronze,95.99,low salary,Middle-aged Adults,High,high satisfied
14,53,Female,USA,58353,6,8,17,Medium,Bronze,100,average salary,Middle-aged Adults,High,high satisfied
15,57,Female,Germany,75657,1,8,15,Medium,Silver,100,average salary,Older Adults,High,high satisfied
16,41,Female,Canada,59164,1,5,10,Medium,Silver,52.34,average salary,Middle-aged Adults,Moderate,low satisfied
17,20,Female,Germany,73887,5,4,7,Medium,Silver,73.48,average salary,Young Adults,Moderate,low satisfied
18,39,Female,France,63522,8,3,8,High,Gold,86.31,average salary,Middle-aged Adults,Moderate,average satisfied
19,19,Male,USA,88593,5,9,8,High,Bronze,100,average salary,Young Adults,Moderate,high satisfied
20,41,Female,Germany,37901,7,5,17,Low,Gold,85.16,low salary,Middle-aged Adults,High,average satisfied
21,61,Female,France,41595,2,4,11,High,Gold,69.85,low salary,Older Adults,Moderate,low satisfied
22,47,Female,France,95043,7,2,5,High,Bronze,92.23,average salary,Middle-aged Adults,Low,high satisfied
23,55,Female,France,42216,5,6,2,Medium,Gold,90.59,low salary,Older Adults,Low,high satisfied
24,19,Male,USA,59536,10,5,7,High,Silver,99.65,average salary,Young Adults,Moderate,high satisfied
25,38,Male,France,48184,3,2,2,Low,Gold,49.73,low salary,Middle-aged Adults,Low,low satisfied
26,50,Male,USA,116529,1,5,18,Medium,Silver,70.82,high salary,Middle-aged Adults,High,low satisfied
27,29,Female,Canada,92619,9,8,15,Low,Gold,100,average salary,Young Adults,High,high satisfied
28,39,Female,Canada,102225,10,4,14,Low,Gold,100,high salary,Middle-aged Adults,High,high satisfied
29,61,Male,Canada,108541,7,1,1,Medium,Silver,75.74,high salary,Older Adults,Low,average satisfied
30,42,Male,France,48768,8,8,16,High,Gold,100,low salary,Middle-aged Adults,High,high satisfied
31,66,Male,USA,95975,10,7,7,Medium,Bronze,100,average salary,Older Adults,Moderate,high satisfied
32,44,Male,Canada,41604,10,9,11,Medium,Bronze,100,low salary,Middle-aged Adults,Moderate,high satisfied
33,59,Male,UK,100739,4,8,18,Medium,Bronze,100,high salary,Older Adults,High,high satisfied
34,45,Male,Canada,119278,3,7,10,High,Gold,100,high salary,Middle-aged Adults,Moderate,high satisfied
35,33,Female,France,112220,5,7,17,Low,Silver,100,high salary,Young Adults,High,high satisfied
36,32,Female,UK,113282,1,10,4,High,Bronze,100,high salary,Young Adults,Low,high satisfied
37,64,Male,Germany,65286,6,1,7,Low,Silver,88.16,average salary,Older Adults,Moderate,average satisfied
38,68,Female,UK,40530,1,6,17,High,Bronze,63.97,low salary,Older Adults,High,low satisfied
39,61,Female,Germany,34580,8,9,9,High,Bronze,100,low salary,Older Adults,Moderate,high satisfied
40,69,Male,UK,75929,5,7,3,Low,Bronze,91.94,average salary,Older Adults,Low,high satisfied
41,20,Male,USA,112595,10,5,13,Medium,Gold,100,high salary,Young Adults,Moderate,high satisfied
42,54,Female,UK,37897,7,1,20,Low,Bronze,72.89,low salary,Middle-aged Adults,High,low satisfied
43,68,Female,Canada,87990,4,10,20,High,Bronze,100,average salary,Older Adults,High,high satisfied
44,24,Female,Germany,91060,5,6,5,Low,Silver,96.58,average salary,Young Adults,Low,high satisfied
45,38,Male,Germany,110598,2,4,2,Medium,Silver,63.49,high salary,Middle-aged Adults,Low,low satisfied
46,26,Female,Canada,40211,7,3,18,High,Silver,79.86,low salary,Young Adults,High,average satisfied
47,56,Male,USA,36990,9,5,7,Medium,Silver,98.21,low salary,Older Adults,Moderate,high satisfied
48,35,Male,UK,55680,7,1,3,Low,Silver,46.66,average salary,Middle-aged Adults,Low,low satisfied
49,21,Female,USA,54175,4,7,5,Low,Bronze,86.36,average salary,Young Adults,Low,average satisfied
50,42,Male,Canada,111018,8,3,20,Medium,Gold,100,high salary,Middle-aged Adults,High,high satisfied
51,31,Male,UK,43211,6,6,11,High,Bronze,81.61,low salary,Young Adults,Moderate,average satisfied
52,67,Male,Canada,114860,6,7,12,High,Bronze,100,high salary,Older Adults,Moderate,high satisfied
53,26,Female,Germany,57358,3,4,19,High,Silver,63.75,average salary,Young Adults,High,low satisfied
54,43,Female,Germany,54191,2,7,18,Low,Gold,94.73,average salary,Middle-aged Adults,High,high satisfied
55,19,Female,Germany,99965,3,10,4,High,Gold,100,average salary,Young Adults,Low,high satisfied
56,37,Male,France,114041,7,8,11,High,Silver,100,high salary,Middle-aged Adults,Moderate,high satisfied
57,45,Female,France,70385,3,10,16,Low,Bronze,100,average salary,Middle-aged Adults,High,high satisfied
58,64,Male,Germany,55312,7,9,7,Low,Bronze,99.01,average salary,Older Adults,Moderate,high satisfied
59,24,Female,France,99717,3,9,1,High,Silver,91.14,average salary,Young Adults,Low,high satisfied
60,61,Male,France,116849,4,7,16,Medium,Silver,100,high salary,Older Adults,High,high satisfied
61,25,Female,Canada,39919,5,1,15,Low,Gold,59.41,low salary,Young Adults,High,low satisfied
62,64,Female,UK,108598,2,5,3,Medium,Gold,90.05,high salary,Older Adults,Low,high satisfied
63,52,Male,Germany,81699,5,10,17,High,Gold,100,average salary,Middle-aged Adults,High,high satisfied
64,31,Male,France,56536,10,1,1,High,Gold,67.19,average salary,Young Adults,Low,low satisfied
65,34,Female,Canada,70364,6,1,18,High,Gold,60.67,average salary,Young Adults,High,low satisfied
66,53,Female,Canada,99149,9,2,8,Low,Bronze,87.19,average salary,Middle-aged Adults,Moderate,average satisfied
67,67,Male,UK,115925,10,3,18,High,Gold,100,high salary,Older Adults,High,high satisfied
68,57,Female,Canada,34262,4,9,18,High,Gold,99.86,low salary,Older Adults,High,high satisfied
69,21,Male,USA,64450,10,3,4,Medium,Silver,100,average salary,Young Adults,Low,high satisfied
70,19,Male,USA,75486,5,4,20,Low,Silver,80.11,average salary,Young Adults,High,average satisfied
71,23,Male,Germany,91477,4,3,14,High,Silver,91.6,average salary,Young Adults,High,high satisfied
72,59,Male,UK,60308,5,2,6,High,Bronze,76.91,average salary,Older Adults,Low,average satisfied
73,21,Male,USA,43257,1,4,4,Low,Silver,46.58,low salary,Young Adults,Low,low satisfied
74,46,Male,UK,104318,8,10,9,Low,Bronze,100,high salary,Middle-aged Adults,Moderate,high satisfied
75,35,Male,Germany,98548,9,9,10,Medium,Silver,100,average salary,Middle-aged Adults,Moderate,high satisfied
76,43,Male,Canada,90145,3,6,3,Medium,Bronze,78.7,average salary,Middle-aged Adults,Low,average satisfied
77,61,Male,Canada,64282,10,1,16,Medium,Bronze,83.31,average salary,Older Adults,High,average satisfied
78,51,Male,Canada,58514,3,6,17,Medium,Bronze,87.35,average salary,Middle-aged Adults,High,average satisfied
79,27,Male,USA,47155,9,5,1,High,Silver,87.48,low salary,Young Adults,Low,average satisfied
80,53,Male,UK,95408,9,8,11,Low,Bronze,100,average salary,Middle-aged Adults,Moderate,high satisfied
81,31,Male,USA,102144,7,9,2,Low,Silver,91.72,high salary,Young Adults,Low,high satisfied
82,48,Male,France,84868,5,4,11,Low,Gold,71.21,average salary,Middle-aged Adults,Moderate,low satisfied
83,65,Male,UK,56005,1,8,12,Low,Gold,88.37,average salary,Older Adults,Moderate,average satisfied
84,32,Male,Germany,41451,9,8,1,Low,Gold,100,low salary,Young Adults,Low,high satisfied
85,25,Female,USA,65875,6,4,11,Low,Gold,84.12,average salary,Young Adults,Moderate,average satisfied
86,31,Female,Canada,118933,3,1,17,Low,Bronze,51.57,high salary,Young Adults,High,low satisfied
87,40,Male,Canada,115896,5,4,9,Medium,Silver,79.53,high salary,Middle-aged Adults,Moderate,average satisfied
88,57,Female,Canada,98973,9,10,15,Medium,Silver,100,average salary,Older Adults,High,high satisfied
89,38,Female,USA,44838,1,7,16,High,Bronze,84.79,low salary,Middle-aged Adults,High,average satisfied
90,33,Female,USA,108700,10,3,1,Medium,Silver,100,high salary,Young Adults,Low,high satisfied
91,62,Male,Canada,69885,1,6,14,Medium,Gold,71.42,average salary,Older Adults,High,low satisfied
92,35,Male,Canada,71049,10,2,7,High,Silver,77.42,average salary,Middle-aged Adults,Moderate,average satisfied
93,64,Male,Canada,56243,4,10,6,Medium,Gold,100,average salary,Older Adults,Low,high satisfied
94,41,Female,France,65122,6,7,18,Medium,Gold,82.91,average salary,Middle-aged Adults,High,average satisfied
95,43,Female,USA,52438,3,8,12,Low,Gold,91.78,average salary,Middle-aged Adults,Moderate,high satisfied
